Hora,Nombre completo del usuario,Usuario afectado,Contexto del evento,Componente,Nombre evento,Descripción
"27 junio 2025, 7:39:33 AM",,1675,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215760' for the user with id '1675' for the grade item with id '2374'.
"27 junio 2025, 7:39:33 AM",1071,1675,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216027' for the user with id '1675' for the grade item with id '2050'.
"27 junio 2025, 7:39:14 AM",1071,1675,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1675' for the assignment with course module id '3462'.
"27 junio 2025, 7:39:13 AM",,1675,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215758' for the user with id '1675' for the grade item with id '2042'.
"27 junio 2025, 7:39:13 AM",,1675,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215760' for the user with id '1675' for the grade item with id '2374'.
"27 junio 2025, 7:39:13 AM",1071,1675,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216027' for the user with id '1675' for the grade item with id '2050'.
"27 junio 2025, 7:29:35 AM",1071,1675,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1675' for the assignment with course module id '3462'.
"27 junio 2025, 7:21:52 AM",,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215685' for the user with id '1118' for the grade item with id '2042'.
"27 junio 2025, 7:21:52 AM",,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215681' for the user with id '1118' for the grade item with id '2375'.
"27 junio 2025, 7:21:52 AM",,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215679' for the user with id '1118' for the grade item with id '2376'.
"27 junio 2025, 7:21:52 AM",,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215676' for the user with id '1118' for the grade item with id '2378'.
"27 junio 2025, 7:21:52 AM",1118,1118,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1118' updated the grade with id '215678' for the user with id '1118' for the grade item with id '2049'.
"27 junio 2025, 6:54:51 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227119' for the user with id '1660' for the grade item with id '2042'.
"27 junio 2025, 6:54:51 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227115' for the user with id '1660' for the grade item with id '2375'.
"27 junio 2025, 6:54:51 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227113' for the user with id '1660' for the grade item with id '2376'.
"27 junio 2025, 6:54:51 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227114' for the user with id '1660' for the grade item with id '2378'.
"27 junio 2025, 6:54:51 AM",1660,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1660' updated the grade with id '227127' for the user with id '1660' for the grade item with id '2049'.
"26 junio 2025, 6:30:17 PM",1071,1694,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1694' for the assignment with course module id '3462'.
"26 junio 2025, 6:30:17 PM",,1694,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215736' for the user with id '1694' for the grade item with id '2042'.
"26 junio 2025, 6:30:17 PM",,1694,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215738' for the user with id '1694' for the grade item with id '2374'.
"26 junio 2025, 6:30:17 PM",1071,1694,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216031' for the user with id '1694' for the grade item with id '2050'.
"26 junio 2025, 6:30:09 PM",1071,1694,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1694' for the assignment with course module id '3462'.
"26 junio 2025, 6:29:07 PM",1071,1653,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1653' for the assignment with course module id '3462'.
"26 junio 2025, 6:28:26 PM",1071,1653,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1653' for the assignment with course module id '3462'.
"26 junio 2025, 6:28:01 PM",1071,1676,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1676' for the assignment with course module id '3462'.
"26 junio 2025, 6:27:33 PM",1071,1676,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1676' for the assignment with course module id '3462'.
"26 junio 2025, 6:27:21 PM",1071,1660,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1660' for the assignment with course module id '3462'.
"26 junio 2025, 6:26:52 PM",1071,1660,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1660' for the assignment with course module id '3462'.
"26 junio 2025, 6:26:39 PM",1071,1667,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1667' for the assignment with course module id '3462'.
"26 junio 2025, 6:25:59 PM",1071,1667,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1667' for the assignment with course module id '3462'.
"26 junio 2025, 6:25:47 PM",1071,1659,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1659' for the assignment with course module id '3462'.
"26 junio 2025, 6:24:43 PM",1071,1659,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1659' for the assignment with course module id '3462'.
"26 junio 2025, 6:14:00 PM",1071,1662,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1662' for the assignment with course module id '3462'.
"26 junio 2025, 6:13:59 PM",,1662,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215844' for the user with id '1662' for the grade item with id '2042'.
"26 junio 2025, 6:13:59 PM",,1662,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215846' for the user with id '1662' for the grade item with id '2374'.
"26 junio 2025, 6:13:59 PM",1071,1662,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216019' for the user with id '1662' for the grade item with id '2050'.
"26 junio 2025, 6:13:16 PM",1071,1662,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1662' for the assignment with course module id '3462'.
"26 junio 2025, 6:13:15 PM",,1662,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215844' for the user with id '1662' for the grade item with id '2042'.
"26 junio 2025, 6:13:15 PM",,1662,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215846' for the user with id '1662' for the grade item with id '2374'.
"26 junio 2025, 6:13:15 PM",1071,1662,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216019' for the user with id '1662' for the grade item with id '2050'.
"26 junio 2025, 6:09:07 PM",1071,1662,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1662' for the assignment with course module id '3462'.
"26 junio 2025, 6:08:56 PM",1071,1678,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1678' for the assignment with course module id '3462'.
"26 junio 2025, 6:08:55 PM",,1678,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227186' for the user with id '1678' for the grade item with id '2042'.
"26 junio 2025, 6:08:55 PM",,1678,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227188' for the user with id '1678' for the grade item with id '2374'.
"26 junio 2025, 6:08:55 PM",1071,1678,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234292' for the user with id '1678' for the grade item with id '2050'.
"26 junio 2025, 6:08:46 PM",1071,1678,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1678' for the assignment with course module id '3462'.
"26 junio 2025, 6:08:02 PM",1071,1678,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1678' for the assignment with course module id '3462'.
"26 junio 2025, 6:07:44 PM",1071,1682,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1682' for the assignment with course module id '3462'.
"26 junio 2025, 6:07:44 PM",,1682,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227215' for the user with id '1682' for the grade item with id '2042'.
"26 junio 2025, 6:07:44 PM",,1682,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227217' for the user with id '1682' for the grade item with id '2374'.
"26 junio 2025, 6:07:44 PM",1071,1682,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234316' for the user with id '1682' for the grade item with id '2050'.
"26 junio 2025, 6:06:45 PM",1071,1682,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1682' for the assignment with course module id '3462'.
"26 junio 2025, 6:06:30 PM",1071,1685,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1685' for the assignment with course module id '3462'.
"26 junio 2025, 6:05:03 PM",1071,1685,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1685' for the assignment with course module id '3462'.
"26 junio 2025, 6:04:18 PM",1071,1683,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1683' for the assignment with course module id '3462'.
"26 junio 2025, 6:04:17 PM",,1683,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227170' for the user with id '1683' for the grade item with id '2042'.
"26 junio 2025, 6:04:17 PM",,1683,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227172' for the user with id '1683' for the grade item with id '2374'.
"26 junio 2025, 6:04:17 PM",1071,1683,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234328' for the user with id '1683' for the grade item with id '2050'.
"26 junio 2025, 6:03:05 PM",1071,1683,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1683' for the assignment with course module id '3462'.
"26 junio 2025, 6:02:53 PM",1071,1679,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1679' for the assignment with course module id '3462'.
"26 junio 2025, 6:02:13 PM",1071,1679,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1679' for the assignment with course module id '3462'.
"26 junio 2025, 6:01:56 PM",1071,1677,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1677' for the assignment with course module id '3462'.
"26 junio 2025, 6:01:24 PM",1071,1677,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1677' for the assignment with course module id '3462'.
"26 junio 2025, 6:01:10 PM",1071,1190,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1190' for the assignment with course module id '3462'.
"26 junio 2025, 6:01:10 PM",,1190,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227247' for the user with id '1190' for the grade item with id '2042'.
"26 junio 2025, 6:01:10 PM",,1190,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227249' for the user with id '1190' for the grade item with id '2374'.
"26 junio 2025, 6:01:10 PM",1071,1190,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234242' for the user with id '1190' for the grade item with id '2050'.
"26 junio 2025, 5:59:07 PM",1071,1190,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1190' for the assignment with course module id '3462'.
"26 junio 2025, 5:58:57 PM",1071,1674,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1674' for the assignment with course module id '3462'.
"26 junio 2025, 5:58:00 PM",1071,1674,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1674' for the assignment with course module id '3462'.
"26 junio 2025, 5:57:45 PM",1071,1684,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1684' for the assignment with course module id '3462'.
"26 junio 2025, 5:56:59 PM",1071,1684,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1684' for the assignment with course module id '3462'.
"26 junio 2025, 5:56:45 PM",1071,1665,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1665' for the assignment with course module id '3462'.
"26 junio 2025, 5:55:24 PM",1071,1665,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1665' for the assignment with course module id '3462'.
"26 junio 2025, 5:54:29 PM",1071,1694,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1694' for the assignment with course module id '3462'.
"26 junio 2025, 5:54:28 PM",,1694,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215736' for the user with id '1694' for the grade item with id '2042'.
"26 junio 2025, 5:54:28 PM",,1694,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215738' for the user with id '1694' for the grade item with id '2374'.
"26 junio 2025, 5:54:28 PM",1071,1694,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '216031' for the user with id '1694' for the grade item with id '2050'.
"26 junio 2025, 5:54:13 PM",1071,1694,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1694' for the assignment with course module id '3462'.
"26 junio 2025, 5:53:08 PM",1071,1694,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1694' for the assignment with course module id '3462'.
"26 junio 2025, 5:52:56 PM",1071,1118,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1118' for the assignment with course module id '3462'.
"26 junio 2025, 5:43:38 PM",1071,1190,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1190' for the assignment with course module id '3462'.
"26 junio 2025, 4:45:44 PM",1071,1527,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1527' for the assignment with course module id '3462'.
"26 junio 2025, 4:36:11 PM",1071,1681,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1681' for the assignment with course module id '3462'.
"26 junio 2025, 4:36:00 PM",1071,1681,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1681' for the assignment with course module id '3462'.
"26 junio 2025, 4:23:06 PM",1071,1527,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1527' for the assignment with course module id '3462'.
"26 junio 2025, 12:12:22 PM",1665,1665,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1665' updated the grade with id '227058' for the user with id '1665' for the grade item with id '2049'.
"26 junio 2025, 10:57:15 AM",1071,1653,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1653' for the assignment with course module id '3462'.
"26 junio 2025, 10:57:14 AM",,1653,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '212965' for the user with id '1653' for the grade item with id '2042'.
"26 junio 2025, 10:57:14 AM",,1653,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215199' for the user with id '1653' for the grade item with id '2374'.
"26 junio 2025, 10:57:14 AM",1071,1653,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '212971' for the user with id '1653' for the grade item with id '2050'.
"26 junio 2025, 10:55:17 AM",1071,1653,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1653' for the assignment with course module id '3462'.
"26 junio 2025, 10:55:16 AM",,1653,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '212965' for the user with id '1653' for the grade item with id '2042'.
"26 junio 2025, 10:55:16 AM",,1653,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '215199' for the user with id '1653' for the grade item with id '2374'.
"26 junio 2025, 10:55:16 AM",1071,1653,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '212971' for the user with id '1653' for the grade item with id '2050'.
"26 junio 2025, 10:49:40 AM",1071,1653,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1653' for the assignment with course module id '3462'.
"26 junio 2025, 10:27:10 AM",1071,1676,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1676' for the assignment with course module id '3462'.
"26 junio 2025, 10:27:09 AM",,1676,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227039' for the user with id '1676' for the grade item with id '2042'.
"26 junio 2025, 10:27:09 AM",,1676,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227041' for the user with id '1676' for the grade item with id '2374'.
"26 junio 2025, 10:27:09 AM",1071,1676,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234304' for the user with id '1676' for the grade item with id '2050'.
"26 junio 2025, 10:19:05 AM",1071,1676,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1676' for the assignment with course module id '3462'.
"26 junio 2025, 10:12:24 AM",1071,1660,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1660' for the assignment with course module id '3462'.
"26 junio 2025, 10:12:23 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227119' for the user with id '1660' for the grade item with id '2042'.
"26 junio 2025, 10:12:23 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227121' for the user with id '1660' for the grade item with id '2374'.
"26 junio 2025, 10:12:23 AM",1071,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234320' for the user with id '1660' for the grade item with id '2050'.
"26 junio 2025, 10:11:48 AM",1071,1660,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1660' for the assignment with course module id '3462'.
"26 junio 2025, 10:11:47 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227119' for the user with id '1660' for the grade item with id '2042'.
"26 junio 2025, 10:11:47 AM",,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227121' for the user with id '1660' for the grade item with id '2374'.
"26 junio 2025, 10:11:47 AM",1071,1660,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234320' for the user with id '1660' for the grade item with id '2050'.
"26 junio 2025, 10:07:13 AM",1071,1660,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1660' for the assignment with course module id '3462'.
"26 junio 2025, 10:02:54 AM",1071,1667,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1667' for the assignment with course module id '3462'.
"26 junio 2025, 10:02:53 AM",,1667,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227151' for the user with id '1667' for the grade item with id '2042'.
"26 junio 2025, 10:02:53 AM",,1667,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227153' for the user with id '1667' for the grade item with id '2374'.
"26 junio 2025, 10:02:53 AM",1071,1667,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1071' updated the grade with id '234300' for the user with id '1667' for the grade item with id '2050'.
"26 junio 2025, 10:00:57 AM",1071,1667,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1667' for the assignment with course module id '3462'.
"26 junio 2025, 10:00:52 AM",1071,1118,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1118' for the assignment with course module id '3462'.
"26 junio 2025, 10:00:28 AM",1071,1675,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1675' for the assignment with course module id '3462'.
